	BW1	BW2	R10	R11	R11BF	R12	R1A	R1B	R2	R3	R4	R5	R6	R7	R8	R9
f0ef96bdea0473bc21cce98767f548fa	0	0	0	0	0.304990281170552	0	0	0	0	0	0	0	0	0	0	0
bf96a9ec42ba86926714575989bed1e8	0	0	0.15220583276023	0.0889345994291907	0	0.0729175796028154	0	0.0754655925321317	0	0.0862111011752989	0.05926955847702	0	0	0	0.0815332650783714	0.118666055184544
342ba3312b63a3ad0e77380db327abc0	0	0	0.0893191319569212	0.0602829299010251	0	0.0969894477004338	0.0817724088382401	0.0881248261601824	0.078684436460842	0.0646583258814742	0.0759257998061429	0	0.0676443755049588	0	0.0879375217583924	0
3db1f78506d300c6aab71a0fc0c73f89	0	0	0	0	0.294180083544954	0	0	0	0	0	0	0	0.0161700985728171	0	0	0
613748b1e7b2e2056441830f0a044c9d	0	0	0	0	0	0.0680831121261547	0	0.0580108624353838	0.0513518243115454	0.143774943809906	0.088523589337604	0.079163034517505	0.0548354721902543	0.080521987827492	0	0
6ab5b3ceda3b4ca3bdef8d2b26b7d593	0	0	0	0	0.273581920620483	0	0	0	0	0	0	0	0	0	0	0
bb919a04cb9484d76657d2d19bf563ec	0	0	0.129908977504752	0.0839898607451808	0	0	0	0	0.0741843981270712	0.0738791915472597	0.0759257998061429	0	0	0	0.0902219936601278	0.104001569846865
3b20ccf47953b05bd84c11b70805070a	0	0	0.07327854611447	0	0	0.0850037089691619	0.0914243324231048	0.0796380629580223	0.0726224463939879	0	0.0545200641843616	0.0634716327561136	0.102905877179645	0	0.058238046484551	0
b6c03a0a204eb8c5bfa4734c8912d0de	0	0	0	0.0462348966592265	0	0.0756701484744357	0.113454612867331	0.0843730974320735	0.0718287346236419	0.0646583258814742	0.0636657186047159	0.069368554972548	0.0775490684705902	0	0	0
103c49fa448a9ed7b54e3a5fc1f92a0d	0	0	0.129317133982525	0.12491981181683	0	0	0	0	0.0502230749507609	0.0690025489339165	0.0600246151393456	0	0	0	0.0974508910341144	0.0936776932043143
1d6541038b0c4873144dd5bc4c4d0e2d	0	0	0	0	0	0	0.0817724088382401	0.08360255072177	0.0668689128216475	0.0908034563266911	0.0690935207525292	0.0798667197741608	0.0523971079590613	0	0.0831805681575145	0
559bf635f24707ffc885147d49bfafb2	0	0	0.118158105239088	0.0731037904128328	0	0.0690770787486893	0	0	0.0454284805717011	0.0939463694586221	0.065065132341264	0	0	0	0.0727392967453308	0.0936776932043143
875a48939559f454a942cd94ff3beb8e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.275532878885513
c9f8b34a9726873a7e0e83e7ae986f76	0	0	0.12631632779287	0.113251905125416	0	0	0	0	0.0428303822283349	0.0559957527795295	0.0455159180178788	0.051824371131267	0	0	0.102868899974728	0.0892142571199771
71b04b6a92b6ed8f49bc2801f44e48a7	0	0	0	0	0	0	0.0905054715905627	0.0843730974320735	0.0710261537394465	0	0.0843554087458975	0.0625838738914611	0	0	0.0871627267280818	0.0989743318610787
c39132ee90503ac5a1539bb1beed2d62	0	0	0.055393374130076	0.0527158929528483	0	0.0719766681881209	0.0895771858044779	0.0719536192546391	0.0605713074289349	0.0559957527795295	0.0577298262679662	0.0748020365580502	0.0749776625994327	0	0	0
1fe03eb96ff38806be0521073423de38	0	0	0	0	0	0.0690770787486893	0.0708169833825631	0	0.0726224463939879	0.0655502069906071	0.0677773331494303	0.0625838738914611	0.0676443755049588	0	0.0558599718373523	0.103015750727543
849a26aa7c994f57a31adb7f140ff289	0	0	0	0	0	0	0.0786461844825779	0.068261196821162	0.078684436460842	0	0.078262523077557	0.100913464439994	0.085564118998149	0	0	0
4f14ff0b03b29cdf8a33c15302276e45	0	0	0.0910206016420972	0	0	0	0	0.0653551202444713	0.0576621667630371	0.0590247060263392	0.0710220824228435	0.0660633699195012	0.0656832509061576	0.11922442635802	0	0
9230a5b0940540f887f0d64b7ed43aaf	0	0	0	0	0	0.0841979684246829	0.0708169833825631	0.0623136621687506	0.0822466020831905	0	0.0771030141909758	0.0528930272967613	0.0656832509061576	0	0	0.0685118789044674
03ff409687c3813261924a6f629fff78	0	0	0.113522635494254	0.0800811900964769	0	0.0535068751196664	0	0.0482679551641532	0.0490683671513091	0.0690025489339165	0.0553399607809092	0	0	0	0.0616333551361366	0.0903507902905251
b0c32f47b06e0de7451edfda8cf34697	0	0	0	0	0	0.0639529479391079	0	0	0.0702143996086658	0.0799198297633879	0.0735148395491674	0.0701705302277534	0.0714052218900349	0.101115967595346	0	0
e8bf41202b8fff247846a5d8505c99f7	0	0	0.0821616514837188	0	0	0.088922965519962	0.0886391789530439	0.068261196821162	0.0677207804485682	0	0.0741249316661101	0.0528930272967613	0	0	0	0
6824c39f44462c75249e3858a0010da6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.250305935256218
01bb426b009e8b088cdde396c45a4135	0	0	0.121991252157463	0.12406124623525	0	0	0	0	0	0	0	0.0569675338282647	0	0	0.0909707367362803	0.0979379228628721
21e7d74e7d1cc0c381fbf1d70ae8764e	0	0	0	0	0	0.0670744176651015	0.0984670194961339	0.101757784211741	0.0586479162325686	0	0.0545200641843616	0.0709634427427861	0.0594127358908626	0	0	0
aab3894aa652ce8139050b22ddad2f45	0	0	0	0.0413537487450834	0	0.0765656843619465	0.0923340496793603	0.0951856912394019	0.0502230749507609	0	0.0328768357173857	0.0616833395480309	0.0626265224790529	0.0907161861737761	0	0
88b058826f579910cca514c3f5e4c97e	0	0	0	0	0	0	0.0950109532829305	0.100477761128974	0.0545982386892294	0	0.0511091181336975	0.0732907285152945	0.0723148792233827	0.0835616158346508	0	0
db6c106196005ec19951aef1ec25b289	0	0	0	0	0.232327894256807	0	0	0	0	0	0	0	0	0	0	0
9c2cd49e44a03201d240094ae609908d	0	0	0	0.114191771075875	0	0.0873763611826689	0.11418895459744	0.0653551202444713	0.0428303822283349	0	0	0	0.0847967122947706	0	0	0
6ec88c146cd3ef3d8442de2db95862cf	0	0	0.055393374130076	0	0	0.0719766681881209	0	0.0643572735522043	0	0.0619056339410666	0.0474536248788393	0.0701705302277534	0	0	0.106114770855324	0.067005939426049
b63663f9b6b0bc9df21c252dc74cb438	0	0	0.101386521573007	0.106440725505671	0	0	0	0	0.0668689128216475	0.108301355496453	0	0.0634716327561136	0	0	0	0
8057363bb31f928510449139e82d07a2	0	0	0	0	0	0.0791915524334727	0.0753904358664085	0	0	0.0722902059911551	0.0741249316661101	0.0652109036255151	0.0732132351492525	0	0	0.0769309258162072
b4be0fee9ac43989bb7277a4c07ced83	0	0	0	0.0980790268655949	0	0	0	0	0.0624354746028145	0.0730890170474345	0.0657536714347713	0.0559767185266326	0.0767015122193102	0	0	0.0925820099772551
0072994f58b92a500da5fab4a6717495	0	0	0.0812226303418963	0.100234867410098	0.104762449975137	0	0	0	0.0513518243115454	0.0431055505876494	0	0.0652109036255151	0	0	0.0593913870916499	0.0795394908975717
3ff1bcb7e80888612810c7e20dada62d	0	0	0.0893191319569212	0.0991628059194123	0.143216532463696	0	0	0	0.0726224463939879	0	0	0	0	0	0.058238046484551	0
2f494f2826a6a941be9d34a998b3d208	0	0	0	0	0	0.0858018833720103	0.0620069990980435	0.0710485062527393	0.0951711910533449	0.0340779299131455	0.0643692285647462	0.0588991824850206	0	0	0	0
